Država,Valuta,Kazni za alkohol,Kazni za prehitro vožnjo,Kazni za varnostni pas,Kazni za mobilni telefon
Albanija,ALL,5.000 - 15.000,2.000 - 6.000,5.000,5.000
Andora,EUR,do 600,24,20 na neprivezano osebo,
Avstrija,EUR,300 - 5.900,35 - 726,35 - 72,50 - 72
Belgija,EUR,150 - 16.000,160,116,116
Belorusija,BYN,1.225 - 2.450,"24,5","24,5",49
BIH,BAM,50 - 1000,50,100 - 300,100 - 300
Bolgarija,BGN,500 - 1000,20 - 600,50,50
Češka,CZK,2.500 - 50.000,2.500 - 5.000,1.500 - 2.500,1.500 - 2.500
Črna Gora,EUR,70 - 2.000,60 - 150,40 - 100,60 - 150
Danska,DKK,na podlagi mesečnega dohodka,3.500,1.500,1.500
Estonija,EUR,400 - 1.200,120,200 - 400,200 - 400
Finska,EUR,dnevne kazni,200,70,100
Francija,EUR,135 - 4.500,135,135,135
Gibraltar,GBP,,,,
Grčija,EUR,78 - 1.200,100,350,100
Hrvaška,EUR,90 - 2.650 ali zaporna kazen,130,130,130
Irska,EUR,do 5.000,160,120,60 - 90
Islandija,ISK,70.000 - 160.000,15.000,10.000,5.000
Italija,EUR,532 - 6.000,169 - 899,80 - 323,161 - 647
Kosovo,EUR,65 - 130,35,35,35
Latvija,EUR,210 - 1.400,40,30,15
Liechtenstein,CHF,600 - 5.000,180 - 240,60,100
Litva,EUR,289 - 1.400,30 - 90,30 - 50,86 - 90
Luksemburg,EUR,145 - 10.000,145,49,74
Madžarska,HUF,100.000 - 200.000,30.000,10.000 - 20.000,15.000 - 30.000
Malta,EUR,1.200 - 2.329,"69,88","46,59",100
Moldavija,MDL,7.500 - 25.000,1.500,750 - 1.000,750 - 1.000
Monako,EUR,200 - 9.000,45 - 750,"22,50 - 135","22,50 - 135"
Nemčija,EUR,500 - 1.500,30 - 70,30,100 - 200
Nizozemska,EUR,300 - 650,240,180,420
Norveška,NOK,6.500–11.000,7.800,1.500,9.700
Poljska,PLN,do 5.000,114,100,200
Portugalska,EUR,250 - 2.500,60 - 300,120 - 600,120 - 600
Romunija,RON,1.305 - 2.900,870 - 2.900,290 - 435,580 - 725
Rusija,RUB,5.000 - 30.000,2.000,1.000,1.500
Severna Makedonija,MKD,15.300 - 24.600,2.800,1.250,2.800
Slovaška,EUR,200 - 1.000,150 - 800,20 - 60,20 - 60
Slovenija,EUR,300 - 1.200,120 + 3 točke,120,250 + 3 točke
Španija,EUR,500 - 1.000,100 - 600,200,200
Srbija,RSD,5.000 - 120.000,5.000,5.000,5.000 - 18.000
Švedska,SEK,odvisno od mesečnega prihodka,2.800,1.500,1.600
Švica,CHF,600 - 6.500,400,60,100
Turčija,TRY,1002 - 2869,235 - 488,108,-
Ukrajina,UAH,2.550 - 3.400,255 - 340,51 - 85,425 - 510
V. Britanija,GBP,5.000,do 1.000,do 1.000,do 1.000
